EXERCISE 9

mysql> select Account.email,
    -> Phone.content
    -> from Account
    -> join AddressBook on Account.id = AddressBook.accountId
    -> join Entry on AddressBook.id = Entry.AddressBookId
    -> join Phone on Entry.id = Phone.entryId
    -> where Phone.content not like '(%)%';
+-------------------------------------------------------+----------------+
| email                                                 | content        |
| nulla.vulputate@Nullamscelerisque.co.uk               | 1-375-412-4731 |
| est.ac@etmalesuadafames.ca                            | 1-712-100-6444 |
| Nunc.pulvinar.arcu@vel.ca                             | 1-137-795-9671 |
| ante@nulla.edu                                        | 1-534-780-0705 |
| Proin.nisl@arcuMorbisit.net                           | 1-380-407-6778 |
| libero.lacus.varius@gravidaAliquamtincidunt.com       | 1-391-754-0615 |
| facilisis.non@vulputateullamcorpermagna.ca            | 1-295-224-3944 |
| Vivamus.euismod.urna@anteNunc.net                     | 1-824-853-9469 |
| aptent@nequesedsem.edu                                | 1-778-730-0178 |
| Vivamus.euismod.urna@anteNunc.net                     | 1-200-560-7225 |
| Nam.consequat.dolor@nondapibusrutrum.ca               | 1-514-561-3156 |
| Suspendisse.non@nullavulputatedui.ca                  | 1-113-843-6724 |
| Vivamus.euismod.urna@anteNunc.net                     | 1-202-236-4469 |
| est.ac@etmalesuadafames.ca                            | 1-603-791-2262 |
| leo@temporloremeget.co.uk                             | 1-954-114-6091 |
| inceptos@dictummagna.org                              | 1-696-690-0114 |
| consectetuer.rhoncus.Nullam@temporloremeget.org       | 1-881-273-9530 |
| facilisis.non@vulputateullamcorpermagna.ca            | 1-351-618-2388 |
| Ut.sagittis.lobortis@semperduilectus.net              | 1-793-953-6677 |
| Duis.ac.arcu@ascelerisque.co.uk                       | 1-355-658-9356 |
| ridiculus.mus@euismod.net                             | 1-632-746-8879 |
| Vestibulum.ante.ipsum@egestasblanditNam.net           | 1-507-991-8513 |
| egestas.Fusce.aliquet@nec.edu                         | 1-751-745-1818 |
| ultrices.sit@arcu.co.uk                               | 1-879-333-2531 |
| commodo@tincidunt.co.uk                               | 1-968-296-4742 |
| iaculis.nec@magnaCrasconvallis.co.uk                  | 1-612-211-8725 |
| neque.vitae@enimcommodohendrerit.net                  | 1-479-495-7495 |
| leo@temporloremeget.co.uk                             | 1-258-765-9937 |
| natoque@perinceptoshymenaeos.net                      | 1-212-228-3810 |
| ridiculus.mus@euismod.net                             | 1-823-223-5247 |
| leo@temporloremeget.co.uk                             | 1-406-473-2934 |
| Morbi.neque@erat.org                                  | 1-781-983-4034 |
| Donec.vitae@Phasellusornare.org                       | 1-830-179-3094 |
| quam.dignissim.pharetra@sed.co.uk                     | 1-876-198-9851 |
| non@eget.com                                          | 1-433-115-6363 |
| natoque@perinceptoshymenaeos.net                      | 1-653-553-6385 |
| lobortis@elementumpurus.co.uk                         | 1-674-209-7387 |
| Phasellus.vitae@diamat.com                            | 1-551-236-8123 |
| ridiculus.mus@euismod.net                             | 1-602-261-0181 |
| Morbi.neque@erat.org                                  | 1-527-448-9647 |
| sit.amet.metus@orcilacus.net                          | 1-667-593-2501 |
| porta@Vivamus.com                                     | 1-588-524-1323 |
| adipiscing.fringilla.porttitor@Quisqueac.edu          | 1-153-744-4476 |
| vitae@tinciduntpede.com                               | 1-820-218-8512 |
| Nam.consequat.dolor@nondapibusrutrum.ca               | 1-823-947-0004 |
| tincidunt.nibh.Phasellus@Inscelerisquescelerisque.net | 1-938-580-7640 |
| Suspendisse.non@nullavulputatedui.ca                  | 1-995-852-9235 |
| tincidunt.nibh.Phasellus@Inscelerisquescelerisque.net | 1-981-886-4751 |
| porta@Vivamus.com                                     | 1-853-878-7833 |
| natoque@perinceptoshymenaeos.net                      | 1-780-716-6922 |
| Vivamus.euismod.urna@anteNunc.net                     | 1-885-383-3316 |
| leo@temporloremeget.co.uk                             | 1-150-167-8225 |
| blandit@nec.com                                       | 1-938-382-4660 |
| eu@Crasvulputatevelit.com                             | 1-340-435-0028 |
| iaculis.nec@magnaCrasconvallis.co.uk                  | 1-512-707-6897 |
| eu@Crasvulputatevelit.com                             | 1-294-608-6640 |
| diam.luctus.lobortis@ipsumac.ca                       | 1-234-889-6165 |
| Vivamus.euismod.urna@anteNunc.net                     | 1-809-132-6405 |
| Vivamus.molestie@Infaucibus.org                       | 1-742-993-2400 |
| consectetuer.rhoncus@pedeacurna.net                   | 1-687-372-5982 |
| magna.Praesent@Lorem.ca                               | 1-649-149-4033 |
| blandit@nec.com                                       | 1-986-619-9252 |
| inceptos@dictummagna.org                              | 1-304-301-0026 |
| magna.Sed.eu@duiSuspendisseac.edu                     | 1-230-850-6706 |
| consectetuer.rhoncus.Nullam@temporloremeget.org       | 1-712-873-5099 |
| ultrices.sit@arcu.co.uk                               | 1-387-871-9476 |
| Quisque@Donec.net                                     | 1-107-768-7113 |
| bibendum@orciUtsemper.com                             | 1-835-432-1108 |
| Vivamus.euismod.urna@anteNunc.net                     | 1-407-967-5039 |
| mauris@placeratCrasdictum.net                         | 1-156-757-3429 |
| blandit@nec.com                                       | 1-254-219-1949 |
| consectetuer.rhoncus.Nullam@temporloremeget.org       | 1-114-563-2897 |
| commodo@tincidunt.co.uk                               | 1-880-866-0045 |
| Nam.consequat.dolor@nondapibusrutrum.ca               | 1-428-478-1655 |
| Proin.nisl@arcuMorbisit.net                           | 1-733-279-6746 |
| blandit@nec.com                                       | 1-482-947-1346 |
| Nunc.pulvinar.arcu@vel.ca                             | 1-100-591-6153 |
| Praesent@miDuis.net                                   | 1-605-729-6995 |
| Phasellus.vitae@diamat.com                            | 1-831-382-0649 |
| Vestibulum.ante.ipsum@egestasblanditNam.net           | 1-773-681-1397 |
| sit.amet.metus@orcilacus.net                          | 1-106-460-0125 |
| Vivamus.euismod.urna@anteNunc.net                     | 1-338-174-4888 |
| adipiscing@Sedetlibero.ca                             | 1-130-457-3860 |
| sit.amet.metus@orcilacus.net                          | 1-296-113-0411 |
| orci.consectetuer.euismod@lacinia.com                 | 1-569-464-7758 |
| et.ipsum.cursus@euaugue.com                           | 1-854-220-8547 |
| quam.dignissim.pharetra@sed.co.uk                     | 1-563-661-4084 |
| semper.egestas.urna@ipsumSuspendissesagittis.ca       | 1-604-453-8030 |
| ipsum.Donec@tellus.ca                                 | 1-973-318-1236 |
| tincidunt.nibh.Phasellus@Inscelerisquescelerisque.net | 1-804-978-1220 |
| ultricies.adipiscing@cursusluctusipsum.co.uk          | 1-337-678-4326 |
| ipsum.non@Nullaeu.net                                 | 1-200-915-5809 |
| adipiscing@Sedetlibero.ca                             | 1-990-136-5147 |
| dignissim.lacus@vel.ca                                | 1-585-936-6793 |
| adipiscing@Sedetlibero.ca                             | 1-924-707-1487 |
| Vivamus.molestie@Infaucibus.org                       | 1-481-326-7608 |
| lobortis@elementumpurus.co.uk                         | 1-358-224-0501 |
| ultricies.adipiscing@cursusluctusipsum.co.uk          | 1-693-568-4932 |
| sit.amet.metus@orcilacus.net                          | 1-494-804-9234 |
| Duis.ac.arcu@ascelerisque.co.uk                       | 1-944-824-1249 |
| Vivamus.molestie@Infaucibus.org                       | 1-737-850-3461 |
| lorem@apurusDuis.edu                                  | 1-859-519-8769 |
| ultrices.sit@arcu.co.uk                               | 1-525-831-2277 |
| consectetuer.rhoncus.Nullam@temporloremeget.org       | 1-676-607-1551 |
| dignissim.lacus@vel.ca                                | 1-976-407-3722 |
| iaculis.nec@magnaCrasconvallis.co.uk                  | 1-380-623-5789 |
| consectetuer.rhoncus.Nullam@temporloremeget.org       | 1-748-169-1118 |
| quam.dignissim.pharetra@sed.co.uk                     | 1-587-303-6203 |
| consectetuer.rhoncus.Nullam@temporloremeget.org       | 1-946-170-8459 |
+-------------------------------------------------------+----------------+
200 rows in set (0.05 sec)
